Id,SEX,CITY,LOCATION,FIO_TIME,DESCRIPTION,COMPLEXION,FIOFS_TYPE,OUTCOME,FIO_DATE_CORRECTED,CLOTHING,AGE_AT_FIO_CORRECTED,STOP_REASONS,FIOFS_REASONS
685,MALE,BOSTON,200 HANCOCK ST,3/3/15 00:00,B(Black),Med,O,O,3/3/15 00:00,,60,RADIO CALL,CITY ORDINANCE; NOISE
686,MALE,BOSTON, DIXWELL ST,3/22/15 00:00,W(White),Light,IOF,F,3/22/15 00:00,tattoos on arms,-1,INVESTIGATIVE,INVESTIGATE; PERSON
687,FEMALE,BOSTON,200 HANCOCK ST,2/2/15 00:00,W(White),NO DATA ENTERED,O,F,2/2/15 00:00,black shirt/ black pants,23,RADIO CALL,CITY ORDINANCE; NOISE
744,MALE,BOSTON,159 CABOT ST,4/15/15 00:00,B(Black),Light,IO,F,4/15/15 00:00,brwn coat  black jns,-1,OTHER (SPECIFY),WARRANT ARREST
949,MALE,BOSTON, DALE ST at SHERMAN ST,4/23/15 00:00,B(Black),Med,IOFS,F,4/23/15 00:00,WHITE T shirt WHITE JEAN SHORTS,-1,OTHER (SPECIFY),INVESTIGATE; PERSON
951,MALE,BOSTON,54 FOWLER ST,4/23/15 00:00,B(Black),Light,IOF,F,4/23/15 00:00,black jacket blue jeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
952,MALE,BOSTON, HUMBOLDT AV at ELBERT ST,4/23/15 00:00,B(Black),Med,IO,F,4/23/15 00:00,black T shirt SMOKING WEED,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1026,MALE,BOSTON,89 MINDEN ST,3/24/15 00:00,H(Hispanic),Dark,IO,F,3/24/15 00:00,blue jeans; BRN BOOTS; BRN JKT; white T shirt;,-1,,INVESTIGATE; PERSON
1027,MALE,BOSTON,200 HANCOCK ST,3/1/15 00:00,H(Hispanic),NO DATA ENTERED,O,F,3/1/15 00:00,gray sweatpants/ gray sweatshirt,46,INVESTIGATIVE,INVESTIGATE; PERSON
1028,MALE,BOSTON, DUDLEY ST at WENDOVER ST,3/24/15 00:00,B(Black),Dark,IO,F,3/24/15 00:00,,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1029,MALE,BOSTON, BABSON ST at FREMONT ST,3/24/15 00:00,B(Black),NO DATA ENTERED,O,F,3/24/15 00:00,blue jeans; black LONG SLEEVE shirt,22,,INVESTIGATE; PERSON
1030,MALE,BOSTON,41 MOZART ST,3/26/15 00:00,W(White),Light,IOFS,F,3/26/15 00:00,PURPLE HAT; WHITE T shirt; blue jeans,-1,OTHER (SPECIFY),INVESTIGATE; PERSON
1037,MALE,BOSTON, LESTON ST at MORTON ST,3/19/15 00:00,B(Black),Dark,IOFS,F,3/19/15 00:00,,-1,,INVESTIGATE; PERSON
1055,MALE,BOSTON, BRUNSWICK ST at BLUE HILL AV,3/24/15 00:00,B(Black),Dark,IO,F,3/24/15 00:00,,-1,,INVESTIGATE; PERSON
1056,MALE,BOSTON, RIVER ST at RIDGEVIEW AV,3/20/15 00:00,B(Black),Med,F,F,3/20/15 00:00,gray SWEATshirt; black PANTS,25,,VAL
1058,MALE,BOSTON, WASHINGTON ST at COBDEN ST,3/26/15 00:00,B(Black),NO DATA ENTERED,IO,F,3/26/15 00:00,,-1,RADIO CALL,FALSE REPORTS TO POLICE
1059,MALE,BOSTON, RIVER ST at RIDGEVIEW AV,3/20/15 00:00,B(Black),Med,F,F,3/20/15 00:00,SWEATshirt; jeans,26,,VAL
1060,MALE,BOSTON,74 SANFORD ST,3/19/15 00:00,B(Black),NO DATA ENTERED,OF,F,3/19/15 00:00,black NIKE SWEATPANTS; GRY SWEATER,20,,VAL
1061,MALE,BOSTON, COLEUS PK,4/15/15 00:00,B(Black),Med,OFS,S,4/15/15 00:00,black HOODIE; black PANTS; GRAY sneakers,45,INVESTIGATIVE,PUBLIC DRINKING
1062,MALE,BOSTON, WASHINGTON ST,4/15/15 00:00,B(Black),Med,IO,F,4/15/15 00:00,purple shirt; cargo pants; boots,-1,RADIO CALL,INVESTIGATE; PERSON
1063,MALE,BOSTON, COLEUS PK,4/15/15 00:00,B(Black),Dark,IOF,F,4/15/15 00:00,white tshirt; red black shorts; white sneakers,-1,,INVESTIGATE; PERSON
1064,MALE,BOSTON, HUMBOLDT AV at ELBERT ST,4/23/15 00:00,B(Black),Med,IO,F,4/23/15 00:00,goatee; green and white polo,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1070,MALE,BOSTON,800 MORTON ST,3/18/15 00:00,B(Black),Dark,IO,F,3/18/15 00:00,NIGHTGOWN blue jeans,-1,RADIO CALL,INVESTIGATE; PERSON
1072,MALE,BOSTON, DALE ST at SHERMAN ST,4/23/15 00:00,B(Black),Dark,IOF,F,4/23/15 00:00,red SWEATshirt; black jeans; GRY sneakers,-1,OTHER (SPECIFY),INVESTIGATE; PERSON
1076,MALE,BOSTON,1140 MORTON ST,4/1/15 00:00,B(Black),Dark,IO,F,4/1/15 00:00,black CAPblackJACKETjeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1077,MALE,BOSTON,00 DARTMOUTH ST,4/2/15 00:00,B(Black),Dark,OF,F,4/2/15 00:00,camoflage hooded jacket; blue jeans,-1,INVESTIGATIVE,DRUGS; INVESTIGATION
1078,FEMALE,BOSTON, WALDEMAR AV at MERIDIAN ST,3/10/15 00:00,W(White),Light,IO,F,3/10/15 00:00,blackhoodiejeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1080,MALE,BOSTON, STOUGHTON ST at COLUMBIA RD,1/23/15 00:00,B(Black),Dark,IO,F,1/23/15 00:00,,-1,RADIO CALL,LOUD PARTY
1081,MALE,BOSTON, MARTIN LUTHER RD at WARREN ST,1/24/15 00:00,B(Black),NO DATA ENTERED,IO,F,1/24/15 00:00,black jacket blackpants,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1082,MALE,BOSTON, MARTIN LUTHER RD at WARREN ST,1/24/15 00:00,B(Black),NO DATA ENTERED,IO,F,1/24/15 00:00,white t-shirt; black pants blue sneakers; eastern border cap,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1126,MALE,BOSTON, MERIDIAN ST,3/10/15 00:00,W(White),Light,IO,F,3/10/15 00:00,blue jeans; white sneakers; BLUE JKT; GRN BLUE STRIPED POLO,-1,,INVESTIGATE; PERSON
1127,MALE,BOSTON, SEAVER ST at ELM HILL AV,1/23/15 00:00,H(Hispanic),Med,IF,F,1/23/15 00:00,gray hoodie; black pants,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1128,MALE,BOSTON, ELM HILL AV at SEAVER ST,1/23/15 00:00,H(Hispanic),Med,IOFS,F,1/23/15 00:00,,-1,MOTOR VEHICLE VIOLATION,INVESTIGATE; MV
1129,MALE,BOSTON, STOUGHTON ST at COLUMBIA RD,1/23/15 00:00,B(Black),Light,O,F,1/23/15 00:00,BLUE shirt; BLUE PANTS,25,MOTOR VEHICLE VIOLATION,VAL
1130,MALE,BOSTON,77 LENOX ST,1/23/15 00:00,B(Black),Light,IO,F,1/23/15 00:00,black shirt; blue jeans,-1,OTHER (SPECIFY),CITY ORDINANCE OTHER;
1131,MALE,BOSTON,310 DUDLEY ST,1/23/15 00:00,B(Black),Med,IO,F,1/23/15 00:00,GRY SWEATshirt; blue jeans; black SNKRS,-1,INVESTIGATIVE,WARRANT ARREST
1164,MALE,BOSTON,618 SHAWMUT AV,1/23/15 00:00,B(Black),Dark,IO,F,1/23/15 00:00,red sundress,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1165,MALE,BOSTON, HANCOCK ST,3/21/15 00:00,B(Black),Med,IO,,3/21/15 00:00,,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1166,FEMALE,BOSTON, HAMILTON PL,3/14/15 00:00,B(Black),NO DATA ENTERED,I,,3/14/15 00:00,black TANK TOP BLUE SHORTS WHITE sneakers,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1168,MALE,BOSTON,37 #2 CHILD ST,3/19/15 00:00,W(White),Light,IO,F,3/19/15 00:00,blue jeans; WHITE T-shirt,-1,MOTOR VEHICLE VIOLATION,VAL
1169,FEMALE,BOSTON, EDINBORO ST,3/14/15 00:00,W(White),Light,I,,3/14/15 00:00,red shirt; blue jeans,-1,MOTOR VEHICLE VIOLATION,VAL
1170,MALE,BOSTON, COLUMBIA RD,3/21/15 00:00,B(Black),NO DATA ENTERED,O,F,3/21/15 00:00,black leather pants,-1,,INVESTIGATE; PERSON
1188,MALE,BOSTON,157 WOODROW AV,4/27/15 00:00,B(Black),Med,IOF,F,4/27/15 00:00,black JACKET; blue jeans;BROWN BOOTS,-1,RADIO CALL,INVESTIGATE; PERSON
1189,MALE,BOSTON, HARVARD ST at WATERLOW ST,4/4/15 00:00,NO DATA ENTERED,Med,IO,F,4/4/15 00:00,black JKT; black PANTS; BOOTS,-1,INVESTIGATIVE,MV ACCIDENT
1190,MALE,BOSTON, HARVARD ST at RIPLEY RD,4/4/15 00:00,NO DATA ENTERED,NO DATA ENTERED,IOF,F,4/4/15 00:00,black jacket gereypantsbluesneakers,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1191,FEMALE,BOSTON,1291 MASSACHUSETTS AV,4/22/15 00:00,B(Black),Light,I,F,4/22/15 00:00,black t shirt;  blue jns,-1,CITIZEN ASSIST,INVESTIGATE; PERSON
1196,MALE,BOSTON,157 WOODROW AV,4/27/15 00:00,B(Black),Light,IOF,F,4/27/15 00:00,tie dye t-shirt,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1219,MALE,BOSTON, DALE ST at SHERMAN ST,4/23/15 00:00,B(Black),Brown,IO,F,4/23/15 00:00,,-1,,INVESTIGATE; PERSON
1342,MALE,BOSTON, MELNEA CASS BL at SHAWMUT AV,4/27/15 00:00,H(Hispanic),Med,IO,F,4/27/15 00:00,white black hatleathercoatbrownbootskharipants,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1343,MALE,BOSTON, MELNEA CASS BL at SHAWMUT AV,4/27/15 00:00,H(Hispanic),Med,IO,F,4/27/15 00:00,Checkered shirt; black jeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1344,MALE,BOSTON, CRAWFORD ST at HAROLD ST,4/27/15 00:00,B(Black),Med,IO,F,4/27/15 00:00,black SUIT JACKET; black PANTS,-1,MOTOR VEHICLE VIOLATION,VAL
1345,MALE,BOSTON,97 WHITFIELD ST,4/27/15 00:00,B(Black),Med,IOF,F,4/27/15 00:00,black SWEATshirt red shirt,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1346,MALE,BOSTON,97 WHITFIELD ST,4/27/15 00:00,B(Black),Med,IOF,F,4/27/15 00:00,,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1521,MALE,BOSTON,36 FOWLER ST,4/26/15 00:00,B(Black),Dark,IO,F,4/26/15 00:00,RUST NYLON JKT; BLU JKT,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1601,MALE,BOSTON, HARRISON ST at DUDLEY ST,4/26/15 00:00,B(Black),Med,IO,F,4/26/15 00:00,T-shirt; blue jeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1884,MALE,BOSTON,00 TREMONT ST,3/23/15 00:00,B(Black),OTHER,IO,F,3/23/15 00:00,BLU SWTSHT; jeans;JORDAN CAP,-1,,INVESTIGATE; PERSON
1885,MALE,BOSTON, STUART ST,3/13/15 00:00,B(Black),Med,I,,3/13/15 00:00,GRY SWTER; PINK TANK TOP; black SHORTS,-1,,PANHANDLING
1886,MALE,BOSTON,00 FORSYTH ST,3/23/15 00:00,B(Black),Med,IOFS,F,3/23/15 00:00,gray pants  black shoes,-1,OTHER (SPECIFY),WARRANT ARREST
1887,MALE,BOSTON,00 HUNTINGTON AV,3/23/15 00:00,B(Black),Med,IOFS,F,3/23/15 00:00,BLU T blue jeans,-1,OTHER (SPECIFY),INVESTIGATE; PERSON
1888,FEMALE,BOSTON, WASHINGTON ST,3/15/15 00:00,W(White),Light,I,,3/15/15 00:00,dark jacket; jeans; brown; gray shirt,-1,RADIO CALL,INVESTIGATE; PERSON
1889,MALE,BOSTON,00 HUNTINGTON AV,3/23/15 00:00,B(Black),Light,IOFS,F,3/23/15 00:00,black cap/brown hoodie/white t /blue jeans/gray and white sneakers,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1912,MALE,BOSTON,175 CABOT ST,3/25/15 00:00,B(Black),Dark,O,F,3/25/15 00:00,black JACKET; blue jeans,16,INVESTIGATIVE,INVESTIGATE; PERSON
1913,MALE,BOSTON, BOYLSTON ST,3/13/15 00:00,B(Black),Dark,I,,3/13/15 00:00,white jkt black pants,-1,,INVESTIGATE; PERSON
1914,MALE,BOSTON,161 INTERVALE ST,3/25/15 00:00,B(Black),Dark,IOFS,S,3/25/15 00:00,black coat; green camo pants; blue sneakers; dred; black cap,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1915,MALE,BOSTON,0 CLAPP ST,3/28/15 00:00,W(White),NO DATA ENTERED,F,F,3/28/15 00:00,jeans; GRY JCK,46,RADIO CALL,DRUGS; OVERDOSE
1916,FEMALE,BOSTON,31 REGINA RD,3/11/15 00:00,B(Black),Light,IO,F,3/11/15 00:00,BLU COAT; blue jeans,-1,INVESTIGATIVE,DRUGS; CONSPIRACY
1941,MALE,BOSTON, COLUMBIA RD at DEVON ST,4/1/15 00:00,B(Black),Dark,IOF,F,4/1/15 00:00,jeans; Blue shirt,-1,,ALCOHOL; PUBLIC DRINKING
1943,MALE,BOSTON,18 LATTIMORE CT,3/20/15 00:00,B(Black),Light,IOF,F,3/20/15 00:00,Pink tank top; black pants,-1,,INVESTIGATE; PERSON
1944,MALE,BOSTON,00 SHAWMUT AV,3/21/15 00:00,B(Black),OTHER,IOF,F,3/21/15 00:00,WHITE shirtblackPANTSWHITECAP,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1945,MALE,BOSTON,00 TREMONT ST,3/22/15 00:00,B(Black),Med,IO,F,3/22/15 00:00,BLUESWEATshirtWHITESANDALSBLUESHORTS,-1,INVESTIGATIVE,INVESTIGATE; PERSON
1946,MALE,BOSTON,332 NEWBURY ST,3/22/15 00:00,B(Black),Dark,OF,F,3/22/15 00:00,blue sweatshirt; black coat; jeans; backpack,53,RADIO CALL,INVESTIGATE; PERSON
1948,MALE,BOSTON, HAMILTON PL,3/14/15 00:00,H(Hispanic),NO DATA ENTERED,I,,3/14/15 00:00,BLUEjeansblackSWEATshirt blacksneakers,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2090,MALE,BOSTON, OLNEY ST at EVERTON ST,3/22/15 00:00,B(Black),Med,IO,F,3/22/15 00:00,,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2091,FEMALE,BOSTON,123 NORTHAMPTON ST,3/19/15 00:00,B(Black),Med,I,F,3/19/15 00:00,white GREEN HOODIE; blue jeans TAN BOOTS,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2092,FEMALE,BOSTON,64 KENSINGTON PK,3/19/15 00:00,B(Black),Med,I,F,3/19/15 00:00,black knit hat; orioles jacket; drk gray pants; yellow hoodie,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2093,MALE,BOSTON, LIVINGSTONE ST,3/19/15 00:00,B(Black),Med,IO,F,3/19/15 00:00,black jacket; black pants,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2094,FEMALE,BOSTON,713 DUDLEY ST,3/19/15 00:00,B(Black),Med,I,F,3/19/15 00:00,black tshirt; blue jeans,-1,,INVESTIGATE; PERSON
2097,MALE,BOSTON,41 W SELDEN ST,3/21/15 00:00,H(Hispanic),NO DATA ENTERED,IO,,3/21/15 00:00,brn sweater/red shirt/blue jeans white sneakers,-1,MOTOR VEHICLE VIOLATION,VAL
2164,MALE,BOSTON, ERIE ST at MICHIGAN AV,3/19/15 00:00,B(Black),Med,IOF,F,3/19/15 00:00,"red ""23"" TANK TOP; CAMO SHORTS; red/white SNE",-1,INVESTIGATIVE,INVESTIGATE; PERSON
2165,MALE,BOSTON, DUDLEY ST,3/21/15 00:00,NO DATA ENTERED,NO DATA ENTERED,O,F,3/21/15 00:00,,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2166,MALE,BOSTON,45 WOLCOTT ST,3/19/15 00:00,B(Black),Med,IO,F,3/19/15 00:00,,-1,,INVESTIGATE; PERSON
2167,MALE,BOSTON, HARLEM ST,3/21/15 00:00,B(Black),NO DATA ENTERED,IOF,,3/21/15 00:00,BLUE JACKET; white T shirt; TAN PANTS,-1,,INVESTIGATE; PERSON
2168,MALE,BOSTON, ERIE ST at MICHIGAN AV,3/19/15 00:00,B(Black),Med,IOFS,S,3/19/15 00:00,black t shirt black shorts,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2400,MALE,BOSTON,137 HAMPDEN ST,3/18/15 00:00,B(Black),Med,IO,F,3/18/15 00:00,dark,-1,RADIO CALL,INVESTIGATE; PERSON
2401,MALE,BOSTON,48 ELMORE ST,3/21/15 00:00,B(Black),Med,IOF,F,3/21/15 00:00,red hat; black jacket; black jeans; brn boots,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2402,MALE,BOSTON, CONGRESS ST,3/14/15 00:00,W(White),NO DATA ENTERED,I,,3/14/15 00:00,unknown,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2403,MALE,BOSTON, KNEELAND ST,3/14/15 00:00,H(Hispanic),NO DATA ENTERED,I,,3/14/15 00:00,,-1,RADIO CALL,DISTURBING; PEACE
2404,MALE,BOSTON,00 MASSACHUSETTS AV,3/25/15 00:00,W(White),Light,IO,F,3/25/15 00:00,black shirt,-1,MOTOR VEHICLE VIOLATION,INVESTIGATE; PERSON
2405,FEMALE,BOSTON,633 SHAWMUT AV,3/26/15 00:00,H(Hispanic),Light,IO,F,3/26/15 00:00,DRK JACKET BLUEjeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
2415,MALE,BOSTON, HARVARD ST at ESMOND ST,4/12/15 00:00,B(Black),NO DATA ENTERED,O,F,4/12/15 00:00,GRY SWEATPANTS; black HOODED SWEATshirt,43,,INVESTIGATE; PERSON
2717,MALE,BOSTON,16 W SPRINGFIELD ST,1/1/15 00:00,UNKNOWN,OTHER,IOF,F,1/1/15 00:00,gray blue stripped shirt; blue pajama pants,-1,,INVESTIGATE; PERSON
2719,MALE,BOSTON,00 SHAWMUT AV,1/1/15 00:00,B(Black),OTHER,IO,F,1/1/15 00:00,black pants  black t,-1,INVESTIGATIVE,INVESTIGATE; PERSON
3442,MALE,BOSTON,633 SHAWMUT AV,3/26/15 00:00,W(White),Med,IO,F,3/26/15 00:00,black DRESS,-1,RADIO CALL,LOUD PARTY
3443,MALE,BOSTON,00 MELNEA CASS BL,3/26/15 00:00,B(Black),Light,IO,F,3/26/15 00:00,black JACKET; DARK jeans,-1,,INVESTIGATE; PERSON
3444,MALE,BOSTON,1 ALBEMARLE ST,3/26/15 00:00,W(White),OTHER,O,F,3/26/15 00:00,gray sweatshirt; blue jeans; white sneakers,29,RADIO CALL,INVESTIGATE; PERSON
3445,MALE,BOSTON,42 ROMSEY ST,3/22/15 00:00,A(Asian or Pacific Islander),Light,IO,F,3/22/15 00:00,,-1,,INVESTIGATE; PERSON
3446,MALE,BOSTON,270 HUNTINGTON AV,3/26/15 00:00,B(Black),OTHER,O,F,3/26/15 00:00,green sweater; blue jeans; white sneakers,50,RADIO CALL,INVESTIGATE; PERSON
3448,MALE,BOSTON,00 COLUMBUS AV,3/26/15 00:00,H(Hispanic),Dark,IO,F,3/26/15 00:00,black BALL CAP; black MUCLE shirt; red/white/black PLAID SHORTS,-1,RADIO CALL,INVESTIGATE; PERSON
3457,MALE,BOSTON, ASHMONT ST at WASHINGTON ST,3/24/15 00:00,B(Black),Med,IOF,F,3/24/15 00:00,gray/yellow pirates hat; white t shirt; blue jeans,-1,INVESTIGATIVE,INVESTIGATE; PERSON
3674,MALE,BOSTON,139 BOWDOIN ST,1/5/15 00:00,NO DATA ENTERED,Dark,IOFS,SF,1/5/15 00:00,KHAKI JACKET red HAT red HOODIE KHAKI PANTS,0,OTHER (SPECIFY),TRESPASSING
3675,MALE,BOSTON,0 I ST at E BROADWAY,3/20/15 00:00,W(White),Light,O,F,3/20/15 00:00,jeans; SNKERS; ROYAL BLU HALF ZIP SWTSHT,47,MOTOR VEHICLE VIOLATION,VAL
3676,MALE,BOSTON,500 GENEVA AV,1/6/15 00:00,H(Hispanic),Light,IO,F,1/6/15 00:00,gray hoodie; dark pants,0,MOTOR VEHICLE VIOLATION,INVESTIGATE; PERSON
